feedback,issue,distance,,,,1suggestion,,,,,2suggestions,,,,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","Explore improvements to interactions for ""Open Link in New/Private Tab"" and ""Switch-to-tab""",[0.58296096],1,,,,,,,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",The performance of the solitaire app is terrible,[0.5809727],0,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","With links from apps working now, we should make it easier to manage too many tabs",[0.5779152],0,,,,,,,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",Strangely poor performance on fairly simple app,[0.5584228],0,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Custom tabs: open link in context menu does not work well,[0.5705725],1,,,,,,,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Packaged app crashes nightly,[0.58814514],1,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Cannot install add-ons,[0.677538],1,,,,,,,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Android interface (Gui) crash after update. Need restart cellphone,[0.5802754],1,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Adblock Plus (maybe also other addons?) fails to load,[0.6493702],0,,,,,,,,crashes nearly every time I use it for an extended period.,Crashes continuously,[0.7771928],1,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Cannot install old extension from addons site,[0.6222366],1,,,,,,,,crashes nearly every time I use it for an extended period.,Repeated crashes,[0.75834465],1,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Bad experience with no Firefox browser installed,[0.61421645],0,,,,,,,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Slow wesite performance as compared to Chrome etc,[0.64254296],1,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Password Manager suggests Mozilla login for all websites,[0.6024332],0,,,,,,,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Speed of opening the tabs menu (org.mozilla.gecko.TabsTray) has regressed in performance recently,[0.5396127],1,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Firefox Accounts (Sign In) - Missing an end step instruction,[0.59301883],0,,,,,,,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Firefox for Android crashes on http://hiwelo.fr/,[0.6877938],1,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Desktop mode should defeat responsive design,[0.6366511],0,,,,,,,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",mozilla browser crash on android,[0.67615294],1,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,UI quirks in Tablet Mode,[0.5401304],0,,,,,,,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",please reduce the ads while browsing,[0.5571897],1,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Investigate support for browser navigation gestures via Samsung S Pen,[0.51728034],0,,,,,,,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",Adblock Plus (maybe also other addons?) fails to load,[0.5161962],0,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Slow page loads on Firefox Mobile,[0.7195511],1,,,,,,,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",Firefox for Android using insane amounts of battery,[0.66972786],1,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",Firefox app - loading page caused phone to slow,[0.68311036],1,,,,,,,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",Firefox frequently OOMs on 1GB Android 4.4 device [Regression],[0.64145994],0,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",firefox for android mobile is not working as good as desktop version.,[0.629876],0,,,,,,,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox on Android reloads certain sites indefinately,[0.636935],1,
"The browser always crash for no reason, this version is whacked I swear.",Opening https://hg.mozilla.org/mozilla-central/rev/6f3709b38781 crashes the browser,[0.68755776],1,,,,,,,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.61673826],0,
"The browser always crash for no reason, this version is whacked I swear.",I am currently using firefox 24 it always crashes,[0.66321003],1,,,,,,,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,crash [@ TouchBadMemory | mozalloc_abort | org.mozilla.firefox_beta-1.apk@0x77682e ],[0.652619],1,
"The browser always crash for no reason, this version is whacked I swear.","49.0.2 unable to browse, then crashes.",[0.63707435],1,,,,,,,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,mozilla browser crash on android,[0.62998766],0,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,clicking the ajax options on this page reloads the page (works on chrome),[0.6016784],0,,,,,,,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",previous tabs doesn't restore properly if firefox was cleared from memory,[0.80839014],0,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Drop downs do not refresh the page after selection,[0.55931026],1,,,,,,,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","Tabs restored after a crash are still displayed after quitting Firefox with ""Don't restore tabs"" and ""Don't keep activities"" enabled",[0.7909742],1,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Web Apps - Text selection toolbar not displayed,[0.5360559],0,,,,,,,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",There is no notifications that the file was downloaded,[0.7420543],0,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Correctly update active/inactive browsers,[0.57368857],0,,,,,,,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Download notification does not clear after download is complete,[0.7302215],1,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",I hate Firefox and Android,[0.5609261],0,,,,,,,,,,,,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Bad experience with no Firefox browser installed,[0.560801],0,,,,,,,,,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",addressbar doesn't remember search query on bad/lost connection,[0.6642314],1,,,,,,,,,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",No domain shown in address bar after page load. Instead 'Search or enter address' shown,[0.6558318],0,,,,,,,,,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",Intermittently cannot search from the address bar until after restart,[0.6547994],1,,,,,,,,,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,"Video playback does not stop, even after closing the tab or loading a new page",[0.65839607],1,,,,,,,,,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Multimedia playback notification remains after playback is stopped as well as the tab is closed,[0.6565353],0,,,,,,,,,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Videos cannot be paused,[0.6507261],0,,,,,,,,,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.","[Roku] Show ""casting"" button in the video controls",[0.6792899],1,,,,,,,,,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Prep casting code to enable casting and Roku on Nightly,[0.6465134],1,,,,,,,,,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Cast Screen from Firefox for Android to Roku player don't work,[0.64321],0,,,,,,,,,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",[meta] PDF.js support for Firefox for Android,[0.6581285],0,,,,,,,,,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",Web browser for fire kindle 5 generation,[0.5976836],0,,,,,,,,,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",i cannot able to download anything from my android firefox browser,[0.56509423],1,,,,,,,,,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Firefox for Android crashes on http://hiwelo.fr/,[0.6199041],1,,,,,,,,,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Firefox for Android crashing on LG phones.,[0.6196999],1,,,,,,,,,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,firefox for android mobile is not working as good as desktop version.,[0.6017493],0,,,,,,,,,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",The performance of the solitaire app is terrible,[0.5809727],0,,,,,,,,,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",Strangely poor performance on fairly simple app,[0.5584228],0,,,,,,,,,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",Several reviews mentioning slow performance with latest update,[0.47557425],1,,,,,,,,,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Packaged app crashes nightly,[0.58814514],1,,,,,,,,,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Android interface (Gui) crash after update. Need restart cellphone,[0.5802754],1,,,,,,,,,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,App crashes on startup,[0.57669175],1,,,,,,,,,,,,
crashes nearly every time I use it for an extended period.,Crashes continuously,[0.7771928],1,,,,,,,,,,,,
crashes nearly every time I use it for an extended period.,Repeated crashes,[0.75834465],1,,,,,,,,,,,,
crashes nearly every time I use it for an extended period.,crashes,[0.7414022],1,,,,,,,,,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Slow wesite performance as compared to Chrome etc,[0.64254296],1,,,,,,,,,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Speed of opening the tabs menu (org.mozilla.gecko.TabsTray) has regressed in performance recently,[0.5396127],1,,,,,,,,,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",Firefox Flicks UI & speed improvements for better viewing/interacting experience,[0.5387994],0,,,,,,,,,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Firefox for Android crashes on http://hiwelo.fr/,[0.6877938],1,,,,,,,,,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",mozilla browser crash on android,[0.67615294],1,,,,,,,,,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Firefox for Android crashing on LG phones.,[0.6668253],1,,,,,,,,,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",please reduce the ads while browsing,[0.5571897],1,,,,,,,,,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",Adblock Plus (maybe also other addons?) fails to load,[0.5161962],0,,,,,,,,,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",Make it easier to install popular add-ons like uBlock Origin or AdBlock on Firefox for Android,[0.5107266],0,,,,,,,,,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",Firefox for Android using insane amounts of battery,[0.66972786],1,,,,,,,,,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",Firefox frequently OOMs on 1GB Android 4.4 device [Regression],[0.64145994],0,,,,,,,,,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Only happening with latest version, But keep getting FFbeta draining battery too fast",[0.63744885],1,,,,,,,,,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox on Android reloads certain sites indefinately,[0.636935],1,,,,,,,,,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox for Android mobile has a massive bug  Because it keep going close while I am busy on a website,[0.61673826],0,,,,,,,,,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Firefox on Android doesn't remember the page it was loading.,[0.5898075],1,,,,,,,,,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,crash [@ TouchBadMemory | mozalloc_abort | org.mozilla.firefox_beta-1.apk@0x77682e ],[0.652619],1,,,,,,,,,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,mozilla browser crash on android,[0.62998766],0,,,,,,,,,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,Crash in Firefox for Android Beta (v 46.0b10) with no crash reporter,[0.62956524],1,,,,,,,,,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",previous tabs doesn't restore properly if firefox was cleared from memory,[0.80839014],0,,,,,,,,,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.","Tabs restored after a crash are still displayed after quitting Firefox with ""Don't restore tabs"" and ""Don't keep activities"" enabled",[0.7909742],1,,,,,,,,,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",Firefox keeps losing open tabs,[0.78922206],0,,,,,,,,,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",There is no notifications that the file was downloaded,[0.7420543],0,,,,,,,,,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Download notification does not clear after download is complete,[0.7302215],1,,,,,,,,,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Downloads Manager is displaying two notifications for a single file download,[0.7051226],1,,,,,,,,,,,,
