feedback,issue,distance,,4/150,,,3/50
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Unable to use jimdb after executing 'mach run --debug',0.73056245,0,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Unable to use jimdb after executing 'mach run --debug',0
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.7305623,0,,"I enjoy using it when it is working, it freezes and crashes quite often",After a crash Aurora got into a state where it would crash when loading about:crashes,1
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",There is no spacing around the video control buttons,0.70701367,0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to use jimdb after executing 'mach run --debug',0
"I enjoy using it when it is working, it freezes and crashes quite often",After a crash Aurora got into a state where it would crash when loading about:crashes,0.63615376,1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"I enjoy using it when it is working, it freezes and crashes quite often",Beeping noise keeps sounding even after closing the tab,0.62160814,0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Crash when selecting Pair a device in Sync (HoneyComb) (android.content.ActivityNotFoundException: Unable to find explicit activity class {org.mozilla.gecko/org.mozilla.gecko.sync.setup.activities.SetupSyncActivity}),0
"I enjoy using it when it is working, it freezes and crashes quite often",about:home - clicking on a thumbnail doesn't work until the awesomebar was opened and closed,0.62160796,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Unable to use jimdb after executing 'mach run --debug',0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to use jimdb after executing 'mach run --debug',0.7483084,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.74830836,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.7365205,0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Unable to use jimdb after executing 'mach run --debug',0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.6927747,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Robocop: intermittent failures with the pixel tests in testAxisLocking, test_bug720538, testOverscroll, testLoad, testPanCorrectness (and others?) (Color rgba(255,255,255,255) not close enough to expected rgb(0,0,0))",0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,There is no spacing around the video control buttons,0.69277465,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6427081,0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Crash when selecting Pair a device in Sync (HoneyComb) (android.content.ActivityNotFoundException: Unable to find explicit activity class {org.mozilla.gecko/org.mozilla.gecko.sync.setup.activities.SetupSyncActivity}),0.76909447,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Uncaught Exception @ Clear Site Settings - nsIURI.host - (NS_ERROR_FAILURE)""  location: ""JS frame :: chrome://browser/content/browser.js :: observe :: line 3645",0.750292,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Introduce SnackbarBuilder or similar in palce of showSnackbar* methods,0.75029194,0,,Browser doesn't work on home Depot website.,Extend testBrowserProvider to test new UrlAnnotations methods (FeedService),0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Unable to use jimdb after executing 'mach run --debug',0.6736666,0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",1
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.67366654,0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.65296805,0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.72929126,0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Unable to use jimdb after executing 'mach run --debug',0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7232153,0,,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,Unable to use jimdb after executing 'mach run --debug',0.705091,0,,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Unable to use jimdb after executing 'mach run --debug',0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.71696275,0,,"Good app when it works, but it constantly crashes when starting up.",Unable to use jimdb after executing 'mach run --debug',0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",about:home janks a lot when fennec first loaded with tabs from last time,0.7157922,0,,"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",Unable to use jimdb after executing 'mach run --debug',0.71427387,0,,Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Unable to use jimdb after executing 'mach run --debug',0.75884056,0,,"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.75884044,0,,"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,ConcurrentModificationException when closing a tab and reopening the tabstray quickly,0.74364597,0,,"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Robocop: intermittent failures with the pixel tests in testAxisLocking, test_bug720538, testOverscroll, testLoad, testPanCorrectness (and others?) (Color rgba(255,255,255,255) not close enough to expected rgb(0,0,0))",0.69071513,0,,"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",There is no spacing around the video control buttons,0.6732484,1,,I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.67324835,0,,Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Firefox great as always in personal control, but horrible slow in the android departure.",Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0.616638,0,,"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Firefox great as always in personal control, but horrible slow in the android departure.",crash in epoll_wait after changing display: table-column style to display:none on body,0.6165047,0,,"The browser always crash for no reason, this version is whacked I swear.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Firefox great as always in personal control, but horrible slow in the android departure.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.61464316,0,,1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.67299414,0,,"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",mwc-demo: having the webapp orientation open in the background can cause OOM/reboot of device,0.6589612,0,,"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0
"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",about:home janks a lot when fennec first loaded with tabs from last time,0.6581543,0,,Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Always show popups does not work after quitting and retriggering from a link,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.7268095,0,,"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7238243,0,,"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0.71351683,0,,was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,There is no spacing around the video control buttons,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.75471276,0,,"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7345017,0,,Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Unable to use jimdb after executing 'mach run --debug',0
Good browser but it is not possible tochange default download folder to external sd. Too bad.,There is no spacing around the video control buttons,0.73450166,0,,crashes nearly every time I use it for an extended period.,crash on a page with flash/video when I rotated the screen,1
Browser doesn't work on home Depot website.,Extend testBrowserProvider to test new UrlAnnotations methods (FeedService),0.65211606,0,,"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
Browser doesn't work on home Depot website.,Fennec does not work if android browser is disabled,0.65211576,0,,"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
Browser doesn't work on home Depot website.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.6467539,0,,"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0.73547405,1,,"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7345995,0,,I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",Attempt to use JS function on a different thread calling nsIWebProgressListener.onStateChange. JS objects may not be shared across threads.,0.72642994,0,,Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7128568,0,,"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",Unable to use jimdb after executing 'mach run --debug',0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Unable to use jimdb after executing 'mach run --debug',0.68845373,0,,"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Unable to use jimdb after executing 'mach run --debug',0
Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.6884537,0,,,,
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7050371,0,,,,
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",There is no spacing around the video control buttons,0.70503706,0,,,,
"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.69693667,0,,,,
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Unable to use jimdb after executing 'mach run --debug',0.74868983,0,,,,
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.7486897,0,,,,
