feedback,issue,distance,,4/150,,,3/50
"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone","Do not open a new tab with about:addons when opening a new tab with ""about:addons"", just switch to the existing tab",0.7436492,0,,,,
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.72674,0,,,,
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.71212745,0,,,,
"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",MAPLE : mwc-demo : Cannot see typing on Hahlo.com for username/password text,0.7088815,0,,,,
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Unable to use jimdb after executing 'mach run --debug',0.6867439,0,,,,
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.68674386,0,,,,
Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.67326236,0,,,,
"Good app when it works, but it constantly crashes when starting up.",Unable to use jimdb after executing 'mach run --debug',0.6589233,0,,,,
"Good app when it works, but it constantly crashes when starting up.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.6589232,0,,,,
"Good app when it works, but it constantly crashes when starting up.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.64357823,0,,,,
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7102482,0,,,,
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0.69611436,0,,,,
"This browser is great, and the sync feature is also useful. My only problem here is: I noticed that this browser takes a lot of battery (9.35% of my power consumption for the last 12 hours - and I only used the app for half an hour)",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.69205195,0,,,,
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0.7141396,0,,,,
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.70416313,0,,,,
Good browser with great features. The scrolling speed is slow compared to chrome while also dropping fps count.but i use Firefox it Will be great if u cold fix these issues because this will make it perfect,Removing a bookmark repeatedly crashes Fennec; java.lang.IllegalArgumentException: Empty values at android.database.sqlite.SQLiteDatabase.updateWithOnConflict(SQLiteDatabase.java:1797),0.6965139,0,,,,
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0.75340647,0,,,,
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.7302779,0,,,,
"I use only Firefox. Some bugs: sometimes I press the go button to browse to a website after typing a url and nothing happens until I close that tab and try with a new one. Today, long pressing links only seems to highlight text(can't open in a new tab). The tab interface should have a faster way to switch. Sometimes android warns me that Firefox is draining my battery.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.72855407,0,,,,
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7247835,0,,,,
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.69492066,0,,,,
"Been using Firefox since version 3 on windows and was happy to see they made the Android version as I rather stick to a browser I already know and trust. Best thing about this is being able to sync my tabs between my PC and smartphone and it's as fast on my phone even with multiple tabs open and does not drain my battery. Disappointed that no add-ons I installed works so far, but maybe that will improve in the future.",Unable to use jimdb after executing 'mach run --debug',0.6865893,0,,,,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.7758449,0,,,,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0.7754717,0,,,,
"Good for privacy as it allows privacy minded extensions but the UI is absolutely terrible from a poweruser's perspective. Simple gestures like drag to reload is missing. No way to copy only the text portion of a link. No way to open a new tab from the detailed context menu when inside the tabs view (can only launch new tab with the + icon), and more.",Attempt to use JS function on a different thread calling nsIWebProgressListener.onStateChange. JS objects may not be shared across threads.,0.73809254,0,,,,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.75039387,0,,,,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...","Crash on startup - Top Level Exception -- java.lang.IllegalStateException: Couldn't read row 0, col 2 from CursorWindow",0.71802163,0,,,,
"almost all of addons are not available for installation? what the hell happened,I keep getting connection failed error.i can't even install adguard extension...",Fennec always reports one tab being open even when no syncable tabs are,0.715669,0,,,,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.717575,0,,,,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7128197,0,,,,
I don't waste time with systems that don't work. Avoid the headaches don't waste time on this browser. Firefox not accepting my signin password so I cannot setup firefox as my browser. Firefox makes it almost impossible to get help.,Crash when selecting Pair a device in Sync (HoneyComb) (android.content.ActivityNotFoundException: Unable to find explicit activity class {org.mozilla.gecko/org.mozilla.gecko.sync.setup.activities.SetupSyncActivity}),0.68310755,0,,,,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7476118,0,,,,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Unable to use jimdb after executing 'mach run --debug',0.7383964,0,,,,
Not optimised for desktop modes like Samsung DeX. Scaling is terrible and there is no right-click functionality with a mouse. Will continue to use Samsung Internet instead.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.73839635,0,,,,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6742334,0,,,,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.",There is no spacing around the video control buttons,0.67205775,0,,,,
"Browser is so slow at loading pages and crashes the majority of the time I use it. Most of the time I get so frustrated with it that I go and use chrome because I dont have any issuess when I use chrome and I hate chrome and would prefer not to use it. I like the desktop version of firefox, but this mobile version is garbage. I never knew how bad a browser could be until I used this one. Almost every time I try to go to a new page it either takes 5 minutes to load or doesnt load or crashes.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.6720577,0,,,,
"The browser always crash for no reason, this version is whacked I swear.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.68084496,0,,,,
"The browser always crash for no reason, this version is whacked I swear.",Unable to Sync -- onSynchronizeFailed: Got store error -- Aborting sync: Got store error.,0.6664378,0,,,,
"The browser always crash for no reason, this version is whacked I swear.",Consolidate telemetry logging in UITelemetry.js,0.66643775,0,,,,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.7444083,0,,,,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Unable to use jimdb after executing 'mach run --debug',0.73754454,0,,,,
1. The menu of the selected text does not show all options which the google chrome does. 2. the Pul-down to refresh doesn't work.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.7375443,0,,,,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.70549655,0,,,,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",MAPLE : mwc-demo : Cannot see typing on Hahlo.com for username/password text,0.69186264,0,,,,
"Slow and with updates getting all the time more complicated to use. Still, is my go to browser, my only browser which I use when I need to trust the browser, f.ex shopping etc.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.6907786,0,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.73637205,0,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.73229206,0,,,,
"everytime I search directly in the address bar, either I need to do it again cause the browser doesn't detect the search, or I have to wait until the page is loaded to see if the web page was even doing anything in the first place. but otherwise, Mozilla is fantastic. Great mission. Good UI","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",0.7203549,0,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Always show popups does not work after quitting and retriggering from a link,0.7061844,0,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Unable to use jimdb after executing 'mach run --debug',0.70297647,0,,,,
Videos or songs don't stop playing after you shut down the app. Have to force stop or turn volume off to stop.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.70297635,0,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.7107086,0,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",Make BrowserApp simpler by delegating lifecycle events,0.68872124,0,,,,
"I'm trying to cast to my roku, but there is no casting tab when I try to browse movies online.",crash on a page with flash/video when I rotated the screen,0.6887212,0,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.69304955,0,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",There is no spacing around the video control buttons,0.6930495,0,,,,
"Not keen on firefox as a obile device browser. I was unable to download any pdf document, which as a uni student is very frustrating.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6929124,0,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,There is no spacing around the video control buttons,0.7525842,0,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7525841,0,,,,
was once best browser for android... now it got worse than before.... the extensions are not available for android ... when I hit on add-ons it shows me windows as platform...most extensions don't work... and flash support has been removed... after latest update it started to lag and crash on s9 plus android 9.0... Firefox was best for android...few years back.... did you have to mess it up like that?,Removing a bookmark repeatedly crashes Fennec; java.lang.IllegalArgumentException: Empty values at android.database.sqlite.SQLiteDatabase.updateWithOnConflict(SQLiteDatabase.java:1797),0.7192846,0,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.70515585,0,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6810938,0,,,,
"It's the slowest app on the planet. I've used it for years, for its ability to copy a file into a pdf. But the initial speed was always slow. I have it paired with my weather app. now and it takes a whole minute to 2 minutes to work the radar function.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.6666911,0,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Unable to use jimdb after executing 'mach run --debug',0.7231963,0,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.72319627,0,,,,
Since the update the app crashes non stop and its so bad it messes up the crash report and the rest of my phone. It is straight trash someone should be fired for coding this garbage.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.71649176,0,,,,
crashes nearly every time I use it for an extended period.,crash on a page with flash/video when I rotated the screen,0.6505924,1,,,,
crashes nearly every time I use it for an extended period.,Unable to use jimdb after executing 'mach run --debug',0.6288237,0,,,,
crashes nearly every time I use it for an extended period.,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.6288236,0,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.6872479,0,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6719734,0,,,,
"Slow, bad ui, and crashes a LOT. Horrible replacement for chrome in it's current state, Opera is faster and more stable.","perma-orange robocop failures in test_bug720538 (Checking page background to the left of the iframe - Color rgba(0,0,255,255) not close enough to expected rgb(0,128,0))",0.6704004,0,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.76581615,0,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7457508,0,,,,
"It is the best browser for android, shame it started crashing after 2 minutes of usage since the last update. Edit: a popup blocker seems to cause crashing, 4 stars for now.",Unable to use jimdb after executing 'mach run --debug',0.7380544,0,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0.72062844,0,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.70677936,0,,,,
"I am trying to add an ad blocker and it leads to a page suggesting ads suitable for me. I dont really know what I am doing , except going round in circles!",MAPLE : mwc-demo : Cannot see typing on Hahlo.com for username/password text,0.69684625,0,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.71629447,0,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.",Expand testInputConnection to include other editor types,0.7007681,0,,,,
"Extremely high battery drain on my device. There are multiple people on forums everywhere complaining about this, I tried reinstalling, but that was a waste of time and, lost all my FF data because Sync didn't really synchronize my data. Back to finding another browser ffs.","Crash on startup - Top Level Exception -- java.lang.IllegalStateException: Couldn't read row 0, col 2 from CursorWindow",0.700768,0,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7058283,0,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6979366,0,,,,
I am having an awful experience using Firefox on my android cell phone. Firefox keeps loading on my history pages that I have not accessed some of which are unacceptable sites. It also keeps disrupting my work flashing posts and adds. Everyday I have to Uninstal Firefox so that I can work on my cell. This does not happen on my table computer. What is going on is there a virus on this app? Getting very frustrated with Firefox.,Intermittent testAppMenuPathways | Menu is open,0.69299465,0,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.7420335,0,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,There is no spacing around the video control buttons,0.74203336,0,,,,
Latest version crashes after 2 mins of usage. Needs to be force quit and restarted to not crash whole phone. When is the next update coming to fix this? I have to install another browser until it's fixed.,Unable to use jimdb after executing 'mach run --debug',0.73715305,0,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",Unable to use jimdb after executing 'mach run --debug',0.74102485,0,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.7410248,0,,,,
"Restore tabs are buggy, my tabs won't close properly and they always come back next time I open Firefox.",ConcurrentModificationException when closing a tab and reopening the tabstray quickly,0.7178924,0,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Unable to use jimdb after executing 'mach run --debug',0.75114965,0,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.75114954,0,,,,
"When I download a file, I have 2 notifications. One says the download completed, and another one animated saying the file is at 90% (sometime 98, 89,..) and it never leaves the notification bar. The file is correctly downloaded, but the notification doesnt disappear until I disable notification for FF",android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.7434067,0,,,,
