feedback,issue,distance,89/150,,,1suggestion,,,36/50,,,,
App is draining all of my battery because it seems to loop all day long. Temporarily enabled auto upload over cellular. Now I disabled this option again but Nextcloud continues to upload data over cellular. Sometimes it's not even properly auto-uploading my pictures. Phone: Samsung S9 Worst app I ever used.,Battery drain with AutoUpload,[0.86528337],1,14,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",Photos: weird loading,1,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Auto upload doesn't work on Android for already uploaded photos.,[0.8643105],0
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Nextcloud keep asking account password,[0.8821387],1,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.",app not syncing auto upload folder and crashing sometimes,1,,This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Android - Auto Upload STILL not working after 1.5 Years!!!,[0.8515557],1
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Keeps asking me to log and relog again,[0.87168837],1,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Again: Auto upload does not work correctly,1,,application crashes on clicking Log In,App crashes on login,[0.9563194],1
Why I CAN login in my nextclowd from the phone's browser and this app is still asking and asking and asking me for password to login in app?? Why? What's wrong????,Can not log in to my accounts by Android application. ,[0.86993176],0,15,,"The app is very user friendly. However, it has some bugs. Auto Upload doesn't not work. Fails to upload any files from selected folder.",app not syncing auto upload folder and crashing sometimes,1,,application crashes on clicking Log In,App crashes when accepting login notification,[0.93811893],1
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",Auto upload - sync conflict ,[0.8881191],0,,,"App is nice for data sync. If you are using a version of the app that works, I strongly recommend disabling auto update to prevent the app from breaking as just happened with v3.0.0 in Feb 2018",android 6.0.1 with 1.4.3 client unreliable sync (unusable),0,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",could not find host on login,[0.90258014],1
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",Files are not completely moved from tmp to final destination on sync,[0.8813939],0,,,"Absolutely full of bugs. Tries to upload even when I've turned off all sync rules and force stopped the app. Certain actions will trigger it to open again and trying to sync. Crashes sometimes, slows down and becomes unresponsive. Also no ability to tell it to sync only on certain Wifi networks (not any Wifi network).",app not syncing auto upload folder and crashing sometimes,1,,"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.","Login won't work with ""Couldn't found host"" message",[0.89438164],1
"I kinda like that you have to be real particular about selecting folders to upload, but until there's an auto-sync, I'll be using Syncthing. a little more detail: you can select ""auto-upload"" and specify a local folder, a remote folder, and some other stuff (defaults are probably fine). It will then _upload_ _new_ files in that local directory (but not subdirectories, which is important for music). So all those existing files, never touched. And if you delete a file, that doesn't propagate out to your server, and therefore to your other devices. And if a file is changed/created/etc on the server, you'll never know about it until you manually sync that folder.",Syncing Pre-Existing Files Causes Re-upload and Download,[0.87370235],0,16,,"Great & working app. There have been a lot's of improvements and stabilisation. Though, the main feature I use is the (camera) auto upload and there are still holes in the raquette. Indeed sometimes it misses pics. It results in part of the pics only being uploaded. I don't see them in the errors and no way to trigger again the autoupload. An rsync like feature would be handy in such case to be fail safe.",Auto upload with Motion Photos,0,,Where has the fingerprint access gone?,[3.3.0 RC1] Unlock with fingerprint not available,[0.86406684],0
"Can not login, after i enter my password i keep looping back to the login menu",Stuck in login loop,[0.928296],1,,,"Good app overall but auto upload still doesn't work. Sony Xperia Z5 on Android 7. Even with auto upload turned on, settings and folders selected, nothing happens when I take a photo. Keep trying :-)",Auto upload doesn't work on Android for already uploaded photos.,0,,Where has the fingerprint access gone?,Fingerprint unlock,[0.8595824],0
"Can not login, after i enter my password i keep looping back to the login menu",can't login,[0.9093329],1,,,"After downloaded it, I've trying to login in, it's prompt me enter URL, password and account, but all I can do is just enter URL, after enter URL, it said wrong account and password, but nothing I can do to enter both...","Tried to log in, got this error",1,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload missing on Android < 7,[0.9106692],0
"Can not login, after i enter my password i keep looping back to the login menu",Login loop,[0.89564633],1,17,,Works on all of my devices except for this tablet. Can't get it past am initial login and refresh of an account and it never wants to clear out old data. Not happy. Works better through my web browser.,Can not log in to my accounts by Android application. ,1,,"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Autoupload - Android 9.0 does not work,[0.89661443],1
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...","Upload photo plus auto upload from phone to server ""folder error""",[0.8955648],1,,,"Not working for me, I can log, manual upload but if I want tu upload more then 10 photos, after a few stops uploading them. Auto upload is not working as well. I disable battery performance, I added all the permissions, etc. I am on android 9.",Autoupload - Android 9.0 does not work,0,,The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app crashes when uploading a bunch of pics,[0.93454],1
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Uploading files from SD card simply does not work,[0.8954629],1,,,"Auto Upload hasn't worked in quite some time.  Even manually moving files to the InstantShared folders has no effect.  Those files aren't even viewable in the app, but are seen there by a file manager.  Would be nice if that was fixed.  Great overall platform though.","Sync, autoupload and upload files not wokr in mobile app.",1,,The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app not syncing auto upload folder and crashing sometimes,[0.9157232],1
"Having a lot of trouble when trying to auto upload a folder containing multiple sub folders with pictures and video from a SD card. Does not seem to want to sync. I had to send files manually, did not scan the folder apparently. My goal is to move video and photos from the phone to this removable card so I can save some space and backup those to a nas...",Provide support for Samsung Galaxy devices: auto upload & synchronization | SD card,[0.889621],1,18,,Used to work great now you it just crashes every time you try to log on,App crashes daily,1,,"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Nextcloud app crashed on anroid on autoupload,[0.89605165],1
Auto uploads no longer work. App just freezes on s8+,Existing files auto upload freezes app,[0.907047],1,,,"even when disabling ALL automatic uploads, it still tries to upload files.",AutoUpload creates unwanted copies of files ,0,,"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.","hello nextcloud crashes when i upload something , my phone is ASUS znefone max pro m1, android 8.1, thanks",[0.89283663],1
Auto uploads no longer work. App just freezes on s8+,App is dying in background / breaks auto-upload feature,[0.89871943],1,,,"Nice, getting better with every version. Auto upload still not totally reliable. A good feature would be implementing file details with metadata support (the kind of details that the Metadata app is providing on the web UI, like EXIF - not sure if it's possible to get the information via that App when it is installed?).",Again: Auto upload does not work correctly,1,,"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Uploads of multiple or subsequent files to Nextcloud incomplete ,[0.8955055],1
Auto uploads no longer work. App just freezes on s8+,App freezes when adding a new Auto upload folder,[0.89801073],1,19,,0,,,,"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",[3.3.0RC1]  Camera auto upload fails,[0.8866856],1
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Auto upload doesn't work on Android for already uploaded photos.,[0.8643105],0,,,0,,,,Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app broke when click Photo Album,[0.8919928],1
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Android - Auto Upload STILL not working after 1.5 Years!!!,[0.8515557],1,,,0,,,,Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Current nextcloud app is broken with images,[0.89082193],0
This is useless on Android. It will not sync your old picture files. Only the new ones. This seems to work on IOS though. There are complains about this on the internet dating back to 2016. They were supposed to work on that. It is now Dec 2019.,Photos are not uploaded or synced,[0.84986436],1,20,,0,,,,new update has broken auto upload. all that happens is I get an error about local storage being full!!! EDIT: Thanks for responding. I have 128gb local storage and a 512gb sd card which is where my pictures are saved to. I'm only using 30gb or so on local storage currently so I should have the space for any images/videos I take. I try to keep at least 10gb of local storage free at any one time for things like updates so I'd have thought that would be more than enough as I mostly take pictures.,Autoupload is failing - UPLOAD_FAILED and result:FOLDER_ERROR ,[0.8957871],0
application crashes on clicking Log In,App crashes on login,[0.9563194],1,,,0,,,,new update has broken auto upload. all that happens is I get an error about local storage being full!!! EDIT: Thanks for responding. I have 128gb local storage and a 512gb sd card which is where my pictures are saved to. I'm only using 30gb or so on local storage currently so I should have the space for any images/videos I take. I try to keep at least 10gb of local storage free at any one time for things like updates so I'd have thought that would be more than enough as I mostly take pictures.,Auto upload not working - not enough space ,[0.8889807],1
application crashes on clicking Log In,App crashes when accepting login notification,[0.93811893],1,,,0,,,,"Really good and useful app. Auto upload works great, even when offline it will retry and upload as soon as you're connected (you'll still get an error, ignore it). I use it with the ""move to nextcloud folder"" option, so I know what's been uploaded. My issues with it: (1) auto-upload won't upload existing pics (many reports on this) (3) useless and stupid slow photos tab (4) multiple selection is one by one only (5) no bidirectional folder sync option. Still, pros outweigh the cons, recommended",Auto upload with Motion Photos,[0.88938075],0
application crashes on clicking Log In,Crashes after login,[0.93752813],1,21,,0,,,,"Really good and useful app. Auto upload works great, even when offline it will retry and upload as soon as you're connected (you'll still get an error, ignore it). I use it with the ""move to nextcloud folder"" option, so I know what's been uploaded. My issues with it: (1) auto-upload won't upload existing pics (many reports on this) (3) useless and stupid slow photos tab (4) multiple selection is one by one only (5) no bidirectional folder sync option. Still, pros outweigh the cons, recommended","Data loss when using auto upload with ""move to app folder""",[0.877374],0
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.","""could not find host"" on login",[0.90258014],1,,,0,,,,After the latest update 3.0.1 my nextcloud could not find host? Please fix it.,Nextcloudpi (https://nextloudpi.local): Could not find host ,[0.8838141],1
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.","Login won't work with ""Couldn't found host"" message",[0.89438164],1,,,0,,,,After the latest update 3.0.1 my nextcloud could not find host? Please fix it.,nextcloud error,[0.87358963],0
"Could not connect. After feeding correct server address and getting ""Secure connection established"" I get ""Could not find host"". Buggy and unusable.",Unable to connect to server (unknown http error),[0.8924604],1,22,,,,,,"Still broken. Random crashes, wrong items being show in some of the screens, the photos section never shows up correctly... Unreliable app feels really buggy and not robust at all. IOS version feels a bit more finished ... This one is an alpha",App dev crash - Photos,[0.87703407],1
Where has the fingerprint access gone?,[3.3.0 RC1] Unlock with fingerprint not available,[0.86406684],0,,,,,,,"Still broken. Random crashes, wrong items being show in some of the screens, the photos section never shows up correctly... Unreliable app feels really buggy and not robust at all. IOS version feels a bit more finished ... This one is an alpha",Current nextcloud app is broken with images,[0.87178475],1
Where has the fingerprint access gone?,Fingerprint unlock,[0.8595824],0,,,,,,,"Nextcloud as a service is amazing, but this mobile client is not so much. The interface is rather unstable and I encounter crashes or bugs while moving from image preview to image preview. I actually have no issues with auto upload, but sync leaves a bit to be desired; you can't configure the location of syncs. Every sync will land in a single directory, which is inconvenient.",Nextcloud does not sync some files over mobile network after allowing to sync over mobile network,[0.886173],0
Where has the fingerprint access gone?,Stuck in auth since fingerprint is enabled,[0.85467863],0,23,,,,,,"Nextcloud as a service is amazing, but this mobile client is not so much. The interface is rather unstable and I encounter crashes or bugs while moving from image preview to image preview. I actually have no issues with auto upload, but sync leaves a bit to be desired; you can't configure the location of syncs. Every sync will land in a single directory, which is inconvenient.",Problem with nextcloud client,[0.8821655],0
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload missing on Android < 7,[0.9106692],0,,,,,,,Was great. Now crashes every 30 seconds and takes me out of whatever app I was in.,Crash at leaving the app,[0.88062996],1
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Autoupload - Android 9.0 does not work,[0.89661443],1,,,,,,,Was great. Now crashes every 30 seconds and takes me out of whatever app I was in.,Crash app after delete notification.,[0.86036104],0
"Autoupload not working, android 7, otherwise all seems good. Happy with app and will increase stars to 5 when auto upload is working.",Auto upload on 1.4.2 and Android 7.1.2 still broken,[0.8953095],1,24,,,,,,"After repeatedly reporting the issue, it still does not auto-upload my photos unless I manually take the phone out of medium power-saving mode (suicide for any Galaxy S8 owner).",Galaxy S8 still not auto-uploading in power save ,[0.8944049],1
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app crashes when uploading a bunch of pics,[0.93454],1,,,,,,,"After repeatedly reporting the issue, it still does not auto-upload my photos unless I manually take the phone out of medium power-saving mode (suicide for any Galaxy S8 owner).",Photos menu item is always empty on Samsung Galaxy S10+ (SM-G975F),[0.85708773],0
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,app not syncing auto upload folder and crashing sometimes,[0.9157232],1,,,,,,,"Hello, Autoupload doesn't work. I manually created folder on the server using web browser, and checked in the app to create year folder and month. It gives ""connection error"" in uploads queue. So the app is almost useless for me",Auto Upload does not work.,[0.9054747],1
The app keeps crashing. I can't upload photos because of this. Please fix the problem.,Constant app crashes when Syncing (>6k) WhatsAPP Pictures,[0.909991],1,25,,,,,,"Hello, Autoupload doesn't work. I manually created folder on the server using web browser, and checked in the app to create year folder and month. It gives ""connection error"" in uploads queue. So the app is almost useless for me",Auto-upload fails with connection error,[0.90302557],1
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",Nextcloud app crashed on anroid on autoupload,[0.89605165],1,,,,,,,First of all. thanks to all the devs for the app. im using the latest version but cant download files anymore using the app. works A1 on the web. im using 15.0.10. Nothing relevent in the logs. Only warning I have is about the fact that the server has no internet connection. thats a mistake. just downloaded stuff from it plus I can get a remote ssh connection to it. i can get my public ip and all... not sure how to debug this. thanks in advance for the help,Android app: Failed to download a file from server,[0.8777974],1
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.","hello nextcloud crashes when i upload something , my phone is ASUS znefone max pro m1, android 8.1, thanks",[0.89283663],1,,,,,,,First of all. thanks to all the devs for the app. im using the latest version but cant download files anymore using the app. works A1 on the web. im using 15.0.10. Nothing relevent in the logs. Only warning I have is about the fact that the server has no internet connection. thats a mistake. just downloaded stuff from it plus I can get a remote ssh connection to it. i can get my public ip and all... not sure how to debug this. thanks in advance for the help,"In new version app(3.10.0 and above),I can not see any files on my server",[0.877112],0
"Love nextcloud, but this app is extremely buggy - frequently freezes and crashes. This seems related to the auto-upload feature, which appears to be duplicating many times the same uploads and hogging the phone CPU/battery. Hopefully this is fixed in the next update.",app not syncing auto upload folder and crashing sometimes,[0.89216304],1,26,,,,,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",Photos: weird loading,[0.8795309],1
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",Uploads of multiple or subsequent files to Nextcloud incomplete ,[0.8955055],1,,,,,,,"The Photos section shows ""loading"" for more than 5 minutes every single time i open it, while on the webinterface the pictures show immediately using the same internet connection. It then shows every photo two times, this also does not happen on the webinterface.  The ""all files"" section even managed to show a whole bunch of pics in the wrong folder (in the root folder while they should have been in a subfolder) once, prompting me to delete them. Later i noticed my desktop pc syncing those very same pictures, which this bug-ridden app had deleted from their subfolder, where they apparently had been all the time. Other sections like ""shared"" show an endless ""loading"" sometimes until i manually refresh them. Sometimes they happen to work instantly and then show ""loading"" for infinity when i refresh them. I have reinstalled the app several times. I will have to use the webinterface which works very fast and flawlessly on chrome and firefox mobile browsers.",Photo section load endless,[0.8585514],1
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",[3.3.0RC1]  Camera auto upload fails,[0.8866856],1,,,,,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.",app not syncing auto upload folder and crashing sometimes,[0.8718425],1
"Nextcloud 3.2.0 does not always pick up new camera files for auto upload 
even if the folder auto upload is turn on. It seems not to reliable detect 
new files. We really need a solution. Stop adding new features first make 
file monitoring reliable. Also please make error recovery automatically 
(reattempt to upload)",NC Dev 20170810: Auto uploads issue while recording.,[0.88063693],0,27,,,,,,"Good app, but instant upload reports failed because of connectivity issues (on wifi) .   Would report the issue but can not find your Bugzilla.  Keep up the great work.","[regression v3] Upload: Files that are not found anymore have wrong error ""Waiting for WiFi""",[0.86882263],1
Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Nextcloud app broke when click Photo Album,[0.8919928],1,,,,,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Again: Auto upload does not work correctly,[0.8738152],1
Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,Current nextcloud app is broken with images,[0.89082193],0,,,,,,,"Keeps forgetting the account data. Then tries to auto-upload and fails, but keeps trying, burning battery. Use the account service, for crying out loud.",Battery drain with AutoUpload,[0.87185115],1
Man I love nextcloud but good God this app sucks. Constant crashes clicking photos in the menu doesn't show photos instead its constantly loads or crashes. I'd be willing to pay a few dollars a year for some good work on this app. I think most people would agree. This app needs alot of work. Limited organization with only favorites working. No tags in this app. Don't expect a fun easy browsing experience here.,"Nextcloud Android app crashes when selecting a folder, switching into gallery mode and go back ",[0.8904002],0,28,,,,,,"The app is very user friendly. However, it has some bugs. Auto Upload doesn't not work. Fails to upload any files from selected folder.",app not syncing auto upload folder and crashing sometimes,[0.9150305],1
