feedback,issue,distance,26/150,,,,10/50,,feedback,issue,distance,,19/100
"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.","After plug in USB drive, VLC will not work normally and pop up the error message.",[0.76642615],0,,,,,,"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","Builds after 1.8.020160104-106 for Android video will stop, audio continues",[0.80572224],,0
"Full of bugs. After the the time sleeper turns the app off, it won't play anything more without closing the app from the app settings. Also, it runs continously on the background even after closed (whether with sleep timer or by any other means) . Can't swipe it off from the notification scroll down bar, and keeps consuming battery.","Video playback can fail to start, freezing the whole app",[0.7481539],0,,,,,,"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.",VLC on Android often loses track of the network drive it's been reading,[0.7747444],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad","Change Playback speed as low and restore,the video will not play smoothly",[0.78181446],0,,,,,,Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.74279386],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad",Scrub backward quickly doesn't work (Android),[0.7562554],0,,,,,,Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.70169073],,0
"The subtitles barely works, keeps saying an error occured, try again in few seconds. Sad",VLC crashes when selecting 'unknown genre',[0.735901],0,,,,,,"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",M3U file with HTTP links fails due to a bug in VLC GET request,[0.7375573],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,"Video playback can fail to start, freezing the whole app",[0.75546885],1,,,,,,"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",Android: Changed playback speed is forgotten after app is sent to background,[0.7364955],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,reading all tracks not working,[0.7234957],0,,,,,,I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7203499],,0
Terrible. It buffers all the time and I can literally watch nothing with this player.,WMA Lossless Broken Playback,[0.6805408],0,,,,,,I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,VLC on Android often loses track of the network drive it's been reading,[0.680868],,0
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,Scrub backward quickly doesn't work (Android),[0.75454617],0,,,,,,This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Video playback freezes on Android when trying to play big video files,[0.7066823],,0
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,Unresponsive interface / general slowness with lots of audio files in the media library,[0.7377126],0,,,,,,This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,VLC on Android often loses track of the network drive it's been reading,[0.70327294],,0
Too slow...it takes lot of time to load the videos and video thumbnail doesn't load,VLC on Android often loses track of the network drive it's been reading,[0.7249194],0,,,,,,great app but background playing is a problem music stop when switch to another app,VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.74658006],,0
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,VLC stops streaming to chromecast after some minutes,[0.68602633],0,,,,,,great app but background playing is a problem music stop when switch to another app,"Change Playback speed as low and restore,the video will not play smoothly",[0.7302408],,0
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,VLC for Android fails at 10bits HEVC,[0.674046],0,,,,,,Thumbnail doesn't disappear when video is deleted,"Back button isn't locked when playback ""lock screen"" is active",[0.7793682],,0
It was 100x better before this new update. Now it's slow! Takes years to load videos and no categories,VLC for Android fails with 10 bit video,[0.65796536],0,,,,,,Thumbnail doesn't disappear when video is deleted,Video is being played properly but display is blank,[0.7072146],,0
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,"Change Playback speed as low and restore,the video will not play smoothly",[0.7230692],0,,,,,,"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.8152241],,0
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,Audio delay after resuming backgrounded video,[0.71199423],1,,,,,,"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Videos fail to played by VLC player after the firsttime,[0.761461],,0
Audio stops all of a sudden. Problem occurs while playing high quality and high FPS videos.,choppy/lagging video on Moto G4 Play (XT1607),[0.6986579],0,,,,,,"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.77653193],,1
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,"Directories disappear if underlying folder is deleted, but can't be removed.",[0.7213417],0,,,,,,"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",VLC for Fire crashes when trying to access smb shares on local network.,[0.7765287],,1
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,"No video on the new Nexus 7, only audio seems to work",[0.69213736],0,,,,,,Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,"Do not display ""Up to parent folder"" in ""Directory"" view because all devices have hardware or software ""Back"" button.",[0.7798763],,0
Favourite player but Could not find a way to prevent it crashing with Huawei emui 9. Reluctantly moved to mxplayer which doesn't have this issue,"VLC for Android shows files with non-standard extensions in Directories view mode, but does not try to play them",[0.6862341],0,,,,,,Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,VLC 3.1.2 won't discover media from my SDCard.,[0.75685406],,0
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,Network stream fails to play due to aggressive caching,[0.81138605],0,,,,,,"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",VLC Android: The Play/Search history should eliminate duplicates,[0.70019114],,1
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.80365777],0,,,,,,"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.6896332],,0
Sometimes app is not working so you need to close it completly and reopen it. Video thumbnails is always wrong and video name is also not showing.,M3U file with HTTP links fails due to a bug in VLC GET request,[0.78288776],0,,,,,,"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",VLC on Android often loses track of the network drive it's been reading,[0.79642665],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,Error when opening VLC from another app,[0.63875777],0,,,,,,"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",android dvd video iso file menu not working (still same issue as in #20169),[0.7596623],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.6365278],0,,,,,,"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","Crash while listening from ""folder"" music files in Android 4.4.3 with Nexus 5",[0.6592305],,0
I recently downloaded this app and I must say it's actually the best so far but the only problem is that when I add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker. Please I need reply,VLC on Android often loses track of the network drive it's been reading,[0.6199726],0,,,,,,"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.62445915],,0
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.7415322],0,,,,,,I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,"VLC Android Crash always after some events (Folder scan preferences, for example)",[0.6470854],,1
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",VLC encountered an error with this media. Please try refreshing the media library,[0.71936345],0,,,,,,I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,VLC stops streaming to chromecast after some minutes,[0.64705175],,0
"I like the app. But there is problem I face. Though I delete a video from the phone, the clip still shows in the VLC Directory. That's very annoying.",Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.70255685],0,,,,,,The cast option doesn't work too well hopefully someone can look into it.,"Change Playback speed as low and restore,the video will not play smoothly",[0.7640793],,0
"current updated interface is not cool, taking too much time to scan local media","Change Playback speed as low and restore,the video will not play smoothly",[0.7776044],0,,,,,,The cast option doesn't work too well hopefully someone can look into it.,Grouping files by names doesnÃ¢Â€Â™t seem to work,[0.730896],,0
"current updated interface is not cool, taking too much time to scan local media",Network stream fails to play due to aggressive caching,[0.7441256],0,,,,,,,,,,
"current updated interface is not cool, taking too much time to scan local media",Grouping files by names doesnÃ¢Â€Â™t seem to work,[0.7435753],0,,,,,,,,,,
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Subtitles 'forgotten' if VLC loses focus,[0.7846899],1,,,,,,,,,,
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Can't download subtitles / Can search but not download,[0.7732083],1,,,,,,,,,,
I can't download subtitles anymore bc the app will simply stop. why make it an option then if it just won't work??,Scrub backward quickly doesn't work (Android),[0.7705097],0,,,,,,,,,,
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","Builds after 1.8.020160104-106 for Android video will stop, audio continues",[0.80572224],0,,,,,,,,,,
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.",VLC on Android often loses track of the network drive it's been reading,[0.7747444],0,,,,,,,,,,
"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.",Android: Changed playback speed is forgotten after app is sent to background,[0.7722922],0,,,,,,,,,,
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.74279386],0,,,,,,,,,,
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,"After Appending songs to a playlist, then saving the playlist, the artist and album information is missing in the new playlist, except for this first song.",[0.70169073],0,,,,,,,,,,
Recording voices and videos it should not again I used to have this problem with it a couple years ago and then it stopped now it's doing it again please fix or update,VLC service stops somethimes after home button tapped,[0.6763216],0,,,,,,,,,,
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",M3U file with HTTP links fails due to a bug in VLC GET request,[0.7375573],0,,,,,,,,,,
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",Android: Changed playback speed is forgotten after app is sent to background,[0.7364955],0,,,,,,,,,,
"I just found 1 bug, when in landscape mode, the app icon is missing for some reason, please fix this :)",VLC Android 1.6.9 crash if iso file is paused,[0.72349876],0,,,,,,,,,,
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.7203499],0,,,,,,,,,,
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,VLC on Android often loses track of the network drive it's been reading,[0.680868],0,,,,,,,,,,
I used to love this app and swore by it but recently I've had nothing but issues with casting videos. It either stops or you lose the UI so can't control the vid.,M3U file with HTTP links fails due to a bug in VLC GET request,[0.651239],0,,,,,,,,,,
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,Video playback freezes on Android when trying to play big video files,[0.7066823],0,,,,,,,,,,
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,VLC on Android often loses track of the network drive it's been reading,[0.70327294],0,,,,,,,,,,
This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.69126844],0,,,,,,,,,,
great app but background playing is a problem music stop when switch to another app,VLC for Android hangs when focused for huge audio library and fast scrolling is glitchy,[0.74658006],0,,,,,,,,,,
great app but background playing is a problem music stop when switch to another app,"Change Playback speed as low and restore,the video will not play smoothly",[0.7302408],0,,,,,,,,,,
great app but background playing is a problem music stop when switch to another app,Headphone Controls not working correctly (works on other apps),[0.7181413],0,,,,,,,,,,
Thumbnail doesn't disappear when video is deleted,"Back button isn't locked when playback ""lock screen"" is active",[0.7793682],0,,,,,,,,,,
Thumbnail doesn't disappear when video is deleted,Video is being played properly but display is blank,[0.7072146],0,,,,,,,,,,
Thumbnail doesn't disappear when video is deleted,Playlist can not be deleted,[0.68865883],1,,,,,,,,,,
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Sometimes the VLC has no response when pause the video first then set Jump to Time to play.,[0.8152241],0,,,,,,,,,,
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",Videos fail to played by VLC player after the firsttime,[0.761461],0,,,,,,,,,,
"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable way. Sometimes it won't auto play the next item on a list. Sometimes it will always play a media from a certain point when starting it - yet it DOESNT properly save the last play location upon leaving",VLC on Android often loses track of the network drive it's been reading,[0.73891443],0,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!","VLC Android Crash always after some events (Folder scan preferences, for example)",[0.77653193],1,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",VLC for Fire crashes when trying to access smb shares on local network.,[0.7765287],1,,,,,,,,,,
"The update mentions multitasking shutdown fixed! They did a terrible job! whenever I open any media file from file manager using VLC, and switch tasks it abruptly shuts down! On top of all they plainly Lie about the update! Useless team .really disappointed!! phone: redmi note 5 pro!",VLC for Android crashes when attempting to browse for media file,[0.77223617],1,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,"Do not display ""Up to parent folder"" in ""Directory"" view because all devices have hardware or software ""Back"" button.",[0.7798763],0,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,VLC 3.1.2 won't discover media from my SDCard.,[0.75685406],0,,,,,,,,,,
Everything is perfectly alright. The only problem i am facing is the full characters of any video is not shown in the playlist due to which it is hard to find a video especially in a playlist etc of any course downloaded from youtube.,"Video playback can fail to start, freezing the whole app",[0.7491547],0,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",VLC Android: The Play/Search history should eliminate duplicates,[0.70019114],1,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",Subtitles stops on my mi max 2 andriod phone once i like lock and unlock the mobile.,[0.6896332],0,,,,,,,,,,
"All things are good but when delete a video from your phone especially whatsapp video , vlc still show these videos. When you try to play these videos vlc shows video not found . Please fix this .",[IESIV_BayTrail CR_VLC_FUN] plug in or unplug HDMI cable will make video auto closed.,[0.6872276],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",VLC on Android often loses track of the network drive it's been reading,[0.79642665],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",android dvd video iso file menu not working (still same issue as in #20169),[0.7596623],0,,,,,,,,,,
"Guys, I have a problem with my android smart TV. When i tried to download subtitles in my TV, it loads but doesnot download inspite of having a good internet connection.",android dvd video iso file menu not working,[0.7442156],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","Crash while listening from ""folder"" music files in Android 4.4.3 with Nexus 5",[0.6592305],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars","When playing an .mkv file in vlc for android version 1.3.2, movie get's cut every couple of seconds",[0.62445915],0,,,,,,,,,,
"Good app. Good to have Chromecast support. Bug when trying to add song to playlist , tapping on the three dots moves the scroll bar and the song to be added is list from screen view. Fix this bug please and I will bump up the review to 5 stars",Crashing Android app by playing a song via upnp with corrupt metadata,[0.6192415],0,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,"VLC Android Crash always after some events (Folder scan preferences, for example)",[0.6470854],1,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,VLC stops streaming to chromecast after some minutes,[0.64705175],0,,,,,,,,,,
I updated the app 2 days ago...I regret my decision as I can't use it anymore because it keeps crashing now...,"After plug in USB drive, VLC will not work normally and pop up the error message.",[0.64250684],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,"Change Playback speed as low and restore,the video will not play smoothly",[0.7640793],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,Grouping files by names doesnÃ¢Â€Â™t seem to work,[0.730896],0,,,,,,,,,,
The cast option doesn't work too well hopefully someone can look into it.,BCM2763 hardware decoding does not work.,[0.72489756],0,,,,,,,,,,
